symbol	direct_call_site_count	runtime_direct_call_site_count	caller_paths	caller_packages	caller_dispositions	provisional_first_hop	stage1_final_disposition	stage1_owner	stage1_basis	upstream_header_state	upstream_package_roots	upstream_declaration_candidates	next_stage
"EndPage"	"1"	"1"	"wow32/wgdi31.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;base/ntos/inc;com/ole32/olethunk;public/internal/printscan;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/gdi"	"admin/netui/common/hack/dos/windows.h:2389;base/ntos/inc/po.h:356;com/ole32/olethunk/ole16/inc/windows.h:2514;public/internal/printscan/inc/winddiui.h:158;public/sdk/inc/mfc30/afxwin.h:816;public/sdk/inc/mfc40/afxwin.h:944;public/sdk/inc/mfc42/afxwin.h:948;public/sdk/inc/wingdi.h:2932;sdktools/jetadmin/inc/mfc/inc/afxwin.h:948;sdktools/jetadmin/inc/wingdi.h:2932;sdktools/jetadmin/sdk/inc32/wingdi.h:2923;sdktools/wap/gdi/gdiapi.h:77"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EndPaint"	"4"	"1"	"softpc.new/host/src/nt_hunt.c;vdmutils/pifedit/pifedit.c;wow32/wuser.c"	"softpc.new;vdmutils;wow32"	"not-host-runtime;overlay-required;tool-only"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/user"	"admin/netui/common/hack/dos/windows.h:3285;com/ole32/olethunk/ole16/inc/windows.h:3396;public/sdk/inc/mfc30/afxwin.h:1567;public/sdk/inc/mfc40/afxwin.h:1932;public/sdk/inc/mfc42/afxwin.h:2041;public/sdk/inc/winuser.h:5168;sdktools/jetadmin/inc/mfc/inc/afxwin.h:2041;sdktools/jetadmin/inc/winuser.h:5168;sdktools/jetadmin/sdk/inc32/winuser.h:4973;sdktools/wap/user/userapi.h:149"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EngAllocMem"	"1"	"0"	"fax/wowfax/wowfax.c"	"fax"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"public/internal/windows;windows/core/ntgdi"	"public/internal/windows/inc/winddi.h:2041;windows/core/ntgdi/displays/ati/driver.h:97;windows/core/ntgdi/fondrv/bmfd/fontfile.h:265;windows/core/ntgdi/fondrv/bmfd/fontfile.h:270;windows/core/ntgdi/fondrv/tt/ttfd/fontfile.h:450;windows/core/ntgdi/fondrv/tt/ttfd/fontfile.h:462;windows/core/ntgdi/fondrv/tt/ttfd/fontfile.h:466;windows/core/ntgdi/fondrv/vtfd/fontfile.h:122;windows/core/ntgdi/fondrv/vtfd/fontfile.h:123;windows/core/ntgdi/halftone/ht/htmemory.h:79;windows/core/ntgdi/printers/cheetah/inc/xllib.h:55;windows/core/ntgdi/printers/lib/libproto.h:30;windows/core/ntgdi/printers/msplot/lib/plotlib.h:87;windows/core/ntgdi/printers/ps50/inc/pslib.h:73;windows/core/ntgdi/printers/ps50/inc/pslib.h:74;windows/core/ntgdi/printers/psprint/inc/psmem.h:114"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EngAssociateSurface"	"1"	"0"	"fax/wowfax/wowfax.c"	"fax"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"public/internal/windows;windows/core/ntgdi"	"public/internal/windows/inc/winddi.h:1271;windows/core/ntgdi/gre/ldev.h:19"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EngCreateBitmap"	"1"	"0"	"fax/wowfax/wowfax.c"	"fax"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"public/internal/windows"	"public/internal/windows/inc/winddi.h:1253"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EngCreatePalette"	"1"	"0"	"fax/wowfax/wowfax.c"	"fax"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"public/internal/windows"	"public/internal/windows/inc/winddi.h:1291"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EngDebugPrint"	"1"	"0"	"fax/wowfax/wowfax.c"	"fax"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"public/internal/windows;windows/core/ntgdi"	"public/internal/windows/inc/winddi.h:2005;windows/core/ntgdi/printers/hprasdd/hp5si/gpc/debug.h:68"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EngDeletePalette"	"1"	"0"	"fax/wowfax/wowfax.c"	"fax"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"public/internal/windows"	"public/internal/windows/inc/winddi.h:1299"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EngDeleteSurface"	"1"	"0"	"fax/wowfax/wowfax.c"	"fax"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"public/internal/windows"	"public/internal/windows/inc/winddi.h:1262"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EngEraseSurface"	"1"	"0"	"fax/wowfax/wowfax.c"	"fax"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"public/internal/windows"	"public/internal/windows/inc/winddi.h:1266"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EngFreeMem"	"2"	"0"	"fax/wowfax/wowfax.c"	"fax"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"public/internal/windows;windows/core/ntgdi"	"public/internal/windows/inc/winddi.h:2049;windows/core/ntgdi/displays/ati/driver.h:98;windows/core/ntgdi/fondrv/bmfd/fontfile.h:274;windows/core/ntgdi/fondrv/tt/ttfd/fontfile.h:451;windows/core/ntgdi/fondrv/tt/ttfd/fontfile.h:463;windows/core/ntgdi/fondrv/tt/ttfd/fontfile.h:465;windows/core/ntgdi/fondrv/vtfd/fontfile.h:124;windows/core/ntgdi/halftone/ht/htmemory.h:80;windows/core/ntgdi/printers/cheetah/inc/xllib.h:56;windows/core/ntgdi/printers/lib/libproto.h:31;windows/core/ntgdi/printers/msplot/lib/plotlib.h:88;windows/core/ntgdi/printers/ps50/inc/pslib.h:75;windows/core/ntgdi/printers/psprint/inc/psmem.h:115"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EnterCriticalSection"	"81"	"71"	"dos/command/cmdredir.c;fax/wowfaxui/wfhelper.c;fax/wowfaxui/wowfaxui.c;softpc.new/host/src/nt_com.c;v86/scaffold/i386/fakekbd.c;vdd/samples/vsbd/vdd.c;vdmredir/vrdlcbuf.c;vdmredir/vrdlcpst.c;vdmredir/vrinit.c;vdmredir/vrnetb.c;vdmredir/vrnmpipe.c;wow32/wkfileio.c;wow32/wkman.c;wow32/wmmalias.c;wow32/wucomm.c"	"dos;fax;softpc.new;v86;vdd;vdmredir;wow32"	"adapter-backed;not-host-runtime;overlay-required"	"non-mvdm-owner-resolution-required"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"ds/netapi/svcdlls;ds/security/protocols;net/sockets/winsock2;net/sockets/winsock2.nt5;printscan/print/spooler"	"ds/netapi/svcdlls/nwsap/server/sdmdp.h:146;ds/netapi/svcdlls/nwsap/server/sdmdp.h:174;ds/security/protocols/ntlmssp/package/secdll.h:81;net/sockets/winsock2.nt5/dll/include/dcatalog.h:239;net/sockets/winsock2.nt5/dll/include/dprocess.h:391;net/sockets/winsock2.nt5/dll/include/nscatalo.h:224;net/sockets/winsock2.nt5/dll/ws2_rp/msrlsp/dcatalog.h:168;net/sockets/winsock2.nt5/wsock32/rnrprov/winsockp.h:251;net/sockets/winsock2.nt5/wsock32/winsockp.h:244;net/sockets/winsock2.nt5/wsp/msafd/winsockp.h:302;net/sockets/winsock2.nt5/wsp/ws2map/debug.h:183;net/sockets/winsock2.nt5/wsp/ws2map/debug.h:186;net/sockets/winsock2/wsock32/rnrprov/winsockp.h:251;net/sockets/winsock2/wsock32/winsockp.h:244;net/sockets/winsock2/wsp/msafd/winsockp.h:355;net/sockets/winsock2/wsp/msafd/winsockp.h:367;net/sockets/winsock2/wsp/ws2map/debug.h:250;net/sockets/winsock2/wsp/ws2map/debug.h:262;printscan/print/spooler/spoolss/client/browse.h:169;printscan/print/spooler/spoolss/dll/router.h:289"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EnterDebug"	"3"	"0"	"softpc.new/base/debug/trace.c;softpc.new/base/debug/yoda.c"	"softpc.new"	"tool-only"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"no-non-mvdm-header-candidate; macro/CRT/Win32/import/assembly/or-unresolved"	""	""	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EnumChildWindows"	"1"	"1"	"wow32/wuwind.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/user"	"admin/netui/common/hack/dos/windows.h:3203;com/ole32/olethunk/ole16/inc/windows.h:3317;public/sdk/inc/winuser.h:6234;sdktools/jetadmin/inc/winuser.h:6234;sdktools/jetadmin/sdk/inc32/winuser.h:6011;sdktools/wap/user/userapi.h:150"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EnumClipboardFormats"	"1"	"1"	"wow32/wuclip.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/ih;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/user"	"admin/netui/common/hack/dos/windows.h:3882;com/ole32/ih/stkswtch.h:117;com/ole32/ih/stkswtch.h:146;com/ole32/ih/stkswtch.h:178;com/ole32/ih/userapis.h:45;com/ole32/olethunk/ole16/inc/windows.h:3993;public/sdk/inc/winuser.h:3473;sdktools/jetadmin/inc/winuser.h:3473;sdktools/jetadmin/sdk/inc32/winuser.h:3328;sdktools/wap/user/userapi.h:151"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EnumFontFamilies"	"1"	"1"	"wow32/wgfont.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;windows/core/ntgdi"	"admin/netui/common/hack/dos/windows.h:1927;admin/netui/common/hack/dos/windows.h:1930;com/ole32/olethunk/ole16/inc/windows.h:2014;com/ole32/olethunk/ole16/inc/windows.h:2031;public/sdk/inc/wingdi.h:2459;public/sdk/inc/wingdi.h:2461;sdktools/jetadmin/inc/wingdi.h:2459;sdktools/jetadmin/inc/wingdi.h:2461;sdktools/jetadmin/sdk/inc32/wingdi.h:2452;sdktools/jetadmin/sdk/inc32/wingdi.h:2454;windows/core/ntgdi/inc/ntgdistr.h:251"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EnumFonts"	"1"	"1"	"wow32/wgfont.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/sdk;windows/core/w32inc"	"admin/netui/common/hack/dos/windows.h:1926;admin/netui/common/hack/dos/windows.h:1929;admin/netui/common/hack/dos/windows.h:1933;com/ole32/olethunk/ole16/inc/commdlg.h:182;com/ole32/olethunk/ole16/inc/commdlg.h:219;com/ole32/olethunk/ole16/inc/windows.h:2020;com/ole32/olethunk/ole16/inc/windows.h:2028;com/ole32/olethunk/ole16/inc/windows.h:2036;public/sdk/inc/commdlg.h:392;public/sdk/inc/commdlg.h:415;public/sdk/inc/commdlg.h:473;public/sdk/inc/wingdi.h:1282;public/sdk/inc/wingdi.h:2466;public/sdk/inc/wingdi.h:2468;sdktools/jetadmin/sdk/inc32/commdlg.h:391;sdktools/jetadmin/sdk/inc32/commdlg.h:414;sdktools/jetadmin/sdk/inc32/commdlg.h:472;sdktools/jetadmin/sdk/inc32/wingdi.h:1269;windows/core/w32inc/greold.h:216;windows/core/w32inc/greold.h:67"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EnumMetaFile"	"1"	"1"	"wow32/wgmeta.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/gdi"	"admin/netui/common/hack/dos/windows.h:2373;com/ole32/olethunk/ole16/inc/windows.h:2490;public/sdk/inc/wingdi.h:2749;sdktools/jetadmin/inc/wingdi.h:2749;sdktools/jetadmin/sdk/inc32/wingdi.h:2742;sdktools/wap/gdi/gdiapi.h:84"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EnumObjects"	"1"	"1"	"wow32/wgdi.c"	"wow32"	"overlay-required"	"non-mvdm-owner-resolution-required"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/ole232;com/ole32/olethunk;com/ole32/stg;sdktools/wap/gdi;shell/shell32/docfind.h;windows/mfc/src40;windows/mfc/src42"	"admin/netui/common/hack/dos/windows.h:1332;admin/netui/common/hack/dos/windows.h:1334;admin/netui/common/hack/dos/windows.h:1337;com/ole32/ole232/stdimpl/srvhndlr.h:143;com/ole32/ole232/stdimpl/srvhndlr.h:308;com/ole32/olethunk/ole16/inc/windows.h:1388;com/ole32/olethunk/ole16/inc/windows.h:1390;com/ole32/olethunk/thc/thpp/ole2.h:796;com/ole32/olethunk/thc/thpp/ole2.h:834;com/ole32/stg/ole2flat/ole2.h:801;com/ole32/stg/ole2flat/ole2.h:839;com/ole32/stg/props/iprop/oleidl.h:1034;com/ole32/stg/props/iprop/oleidl.h:1066;com/ole32/stg/props/iprop/oleidl.h:1102;com/ole32/stg/props/iprop/oleidl.h:2565;com/ole32/stg/props/iprop/oleidl.h:2620;sdktools/wap/gdi/gdiapi.h:85;shell/shell32/docfind.h:78;windows/mfc/src40/occimpl.h:93;windows/mfc/src42/occimpl.h:173"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EnumProps"	"1"	"1"	"wow32/wuser.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/vctools/pdb"	"admin/netui/common/hack/dos/windows.h:3232;com/ole32/olethunk/ole16/inc/windows.h:3346;public/sdk/inc/winuser.h:5484;public/sdk/inc/winuser.h:5486;sdktools/jetadmin/inc/winuser.h:5484;sdktools/jetadmin/inc/winuser.h:5486;sdktools/jetadmin/sdk/inc32/winuser.h:5282;sdktools/jetadmin/sdk/inc32/winuser.h:5284;sdktools/vctools/pdb/bsc/bsc1.h:172"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EnumThreadWindows"	"1"	"1"	"wow32/wuwind.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/user"	"public/sdk/inc/winuser.h:6279;public/sdk/inc/winuser.h:6284;sdktools/jetadmin/inc/winuser.h:6279;sdktools/jetadmin/inc/winuser.h:6284;sdktools/jetadmin/sdk/inc32/winuser.h:6055;sdktools/jetadmin/sdk/inc32/winuser.h:6060;sdktools/wap/user/userapi.h:156"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EnumWindows"	"2"	"2"	"softpc.new/host/src/nt_error.c;wow32/wuwind.c"	"softpc.new;wow32"	"adapter-backed;overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/user;windows/core/ntuser"	"admin/netui/common/hack/dos/windows.h:3202;com/ole32/olethunk/ole16/inc/windows.h:3316;public/sdk/inc/winuser.h:6272;sdktools/jetadmin/inc/winuser.h:6272;sdktools/jetadmin/sdk/inc32/winuser.h:6048;sdktools/wap/user/userapi.h:157;windows/core/ntuser/kernel/userk.h:1472;windows/core/ntuser/kernel/userk.h:1482"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EqualRgn"	"1"	"1"	"wow32/wgdi.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/gdi"	"admin/netui/common/hack/dos/windows.h:1454;com/ole32/olethunk/ole16/inc/windows.h:1512;public/sdk/inc/mfc30/afxwin.h:501;public/sdk/inc/mfc40/afxwin.h:581;public/sdk/inc/mfc42/afxwin.h:585;public/sdk/inc/wingdi.h:2478;sdktools/jetadmin/inc/mfc/inc/afxwin.h:585;sdktools/jetadmin/inc/wingdi.h:2478;sdktools/jetadmin/sdk/inc32/wingdi.h:2471;sdktools/wap/gdi/gdiapi.h:86"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"Escape"	"25"	"25"	"wow32/wgdi.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;base/fs/cdfs;com/ole32/olecnv32;com/ole32/olethunk;public/internal/windows;public/sdk/inc;sdktools/ftp/src;sdktools/wap/gdi;windows/core/ntgdi;windows/mfc/src40"	"admin/netui/common/hack/dos/windows.h:2421;admin/netui/common/hack/dos/windows.h:2423;admin/netui/common/hack/dos/windows.h:5028;base/fs/cdfs/cddata.h:89;com/ole32/olecnv32/gdiprim.h:109;com/ole32/olecnv32/gdiprim.h:208;com/ole32/olecnv32/gdiprim.h:255;com/ole32/olethunk/ole16/inc/windows.h:2541;com/ole32/olethunk/ole16/inc/windows.h:2543;com/ole32/olethunk/ole16/inc/windows.h:5134;public/internal/windows/inc/conapi.h:344;public/internal/windows/inc/conapi.h:349;public/internal/windows/inc/rx.h:24;public/sdk/inc/wingdi.h:2479;sdktools/ftp/src/ftp.h:52;sdktools/wap/gdi/gdiapi.h:87;windows/core/ntgdi/client/mf16.h:191;windows/core/ntgdi/displays/tga/tgaesc.h:64;windows/core/ntgdi/printers/psprint/pscript/pscript.h:220;windows/mfc/src40/include/olectl.h:431"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"EscapeCommFunction"	"9"	"9"	"softpc.new/host/src/nt_com.c;wow32/wucomm.c"	"softpc.new;wow32"	"adapter-backed;overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/base"	"admin/netui/common/hack/dos/windows.h:5142;com/ole32/olethunk/ole16/inc/windows.h:5269;public/sdk/inc/winbase.h:2858;sdktools/jetadmin/inc/winbase.h:2489;sdktools/jetadmin/sdk/inc32/winbase.h:2278;sdktools/wap/base/baseapi.h:83"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"ExcludeClipRect"	"1"	"1"	"wow32/wgdi.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;com/oleaut32/typelib;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/gdi;windows/core/ntgdi"	"admin/netui/common/hack/dos/windows.h:1532;com/ole32/olethunk/ole16/inc/windows.h:1587;com/oleaut32/typelib/obwlm.h:130;public/sdk/inc/mfc30/afxwin.h:664;public/sdk/inc/mfc30/afxwin.h:665;public/sdk/inc/mfc40/afxwin.h:748;public/sdk/inc/mfc40/afxwin.h:749;public/sdk/inc/mfc42/afxwin.h:752;public/sdk/inc/mfc42/afxwin.h:753;public/sdk/inc/wingdi.h:2481;sdktools/jetadmin/inc/mfc/inc/afxwin.h:752;sdktools/jetadmin/inc/mfc/inc/afxwin.h:753;sdktools/jetadmin/inc/wingdi.h:2481;sdktools/jetadmin/sdk/inc32/wingdi.h:2474;sdktools/wap/gdi/gdiapi.h:88;windows/core/ntgdi/client/metarec.h:78"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"ExcludeUpdateRgn"	"1"	"1"	"wow32/wuser.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/user"	"admin/netui/common/hack/dos/windows.h:3289;com/ole32/olethunk/ole16/inc/windows.h:3400;public/sdk/inc/mfc30/afxwin.h:666;public/sdk/inc/mfc40/afxwin.h:750;public/sdk/inc/mfc42/afxwin.h:754;public/sdk/inc/winuser.h:5206;sdktools/jetadmin/inc/mfc/inc/afxwin.h:754;sdktools/jetadmin/inc/winuser.h:5206;sdktools/jetadmin/sdk/inc32/winuser.h:5011;sdktools/wap/user/userapi.h:159"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"exit"	"12"	"2"	"softpc.new/base/support/main.c;softpc.new/base/support/terminat.c;softpc.new/base/video/ega_trcr.c;softpc.new/dat2obj/dat2obj.c;softpc.new/host/src/sim32.c;vdmutils/graftabl/graftabl.c"	"softpc.new;vdmutils"	"not-host-runtime;overlay-required;tool-only"	"non-mvdm-owner-resolution-required"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"ds/netapi/svcdlls;ds/security/protocols;net/sockets/winsock2.nt5;sdktools/z/inc;sdktools/z/src;shell/inc/debug.h;shell/shell32/shellvm.h;windows/diamond/inf.h"	"ds/netapi/svcdlls/rpl/dll/local.h:202;ds/netapi/svcdlls/wkssvc/server/wsmain.h:82;ds/security/protocols/ntlmssp/server/ntlmssps.h:83;net/sockets/winsock2.nt5/dll/include/trycatch.h:73;net/sockets/winsock2.nt5/dll/ws2_rp/msrlsp/rworker.h:218;net/sockets/winsock2.nt5/wsp/ws2map/type.h:161;sdktools/z/inc/zext.h:385;sdktools/z/src/z.h:582;sdktools/z/src/z.h:585;shell/inc/debug.h:300;shell/inc/debug.h:303;shell/inc/debug.h:309;shell/inc/debug.h:316;shell/inc/debug.h:323;shell/inc/debug.h:330;shell/inc/debug.h:339;shell/shell32/shellvm.h:318;shell/shell32/shellvm.h:379;shell/shell32/shellvm.h:387;windows/diamond/inf.h:231"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"ExitProcess"	"14"	"9"	"softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_reset.c;softpc.new/host/src/nt_term.c;v86/scaffold/i386/fakekbd.c;v86/scaffold/i386/softpc.c;vdmutils/forcedos/forcedos.c;wow32/wkman.c;wow32/wow32.c"	"softpc.new;v86;vdmutils;wow32"	"adapter-backed;not-host-runtime;overlay-required;tool-only"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"base/ntdll/dbgdllp.h;base/win32/inc;ds/netapi/svcdlls;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/ntsdsapi/inc;sdktools/ntslm/ntslm.h;sdktools/wap/base"	"base/ntdll/dbgdllp.h:82;base/win32/inc/basemsg.h:273;ds/netapi/svcdlls/repl/common/replgbl.h:54;public/sdk/inc/ntdbg.h:208;public/sdk/inc/ntdbg.h:303;public/sdk/inc/ntdbg.h:345;public/sdk/inc/winbase.h:1863;public/sdk/inc/winbase.h:725;sdktools/jetadmin/inc/winbase.h:1612;sdktools/jetadmin/inc/winbase.h:684;sdktools/jetadmin/sdk/inc32/winbase.h:1512;sdktools/jetadmin/sdk/inc32/winbase.h:650;sdktools/ntsdsapi/inc/ntsdp.h:104;sdktools/ntslm/ntslm.h:110;sdktools/wap/base/baseapi.h:84"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
