"audit_id"	"source_path"	"source_line"	"interface_family"	"source_token"	"original_contract"	"pointer_or_identity_lifetime"	"current_same_shaped_binding"	"required_owner_path"	"exact_unavailable_prerequisite"	"final_s2_disposition"	"source_excerpt"
"WOW-TF-03-716"	"wow32/wcall16.c"	"716"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"if (RET_WOWCALLBACK16 == iRetID) {"
"WOW-TF-01-757"	"wow32/wcall16.c"	"757"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(pFrame);"
"WOW-TF-01-758"	"wow32/wcall16.c"	"758"	"WOW-TF-01"	"FLUSHVDMPTR"	"publish modified VDM bytes before releasing the mapping"	"must commit the matching synchronous checked lease before release"	"no; no generic code-flush or unbounded alias is admitted"	"adapter-mvdm-host-out/softpc -> session.guest_memory -> adapter-bochs"	"paired WOW pointer scope with explicit write/commit designation"	"adapter-backed after complete scope design; no provider body enabled"	"FLUSHVDMPTR(ptd->vpCBStack, sizeof(CBVDMFRAME), pCBFrame);"
"WOW-TF-01-759"	"wow32/wcall16.c"	"759"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(pCBFrame);"
"WOW-TF-03-764"	"wow32/wcall16.c"	"764"	"WOW-TF-03"	"SETFASTVDMSTACK"	"replace the fast-monitor VDM stack before a callback"	"one typed callback transaction; numeric VPVOID only"	"no; FASTBOPPING/fast-monitor product shell is not recovered"	"adapter-mvdm-host-out/monitor -> session"	"explicit future fast-monitor owner package or source-defined unavailable selection"	"source-defined unavailable/fallback required; no provider body enabled"	"SETFASTVDMSTACK(ptd->vpCBStack);"
"WOW-TF-03-764"	"wow32/wcall16.c"	"764"	"WOW-TF-03"	"VDMSTACK"	"read the callback-return VDM stack numeric address"	"one typed callback transaction; numeric VPVOID only"	"no; no callback transaction is implemented"	"adapter-mvdm-host-out/monitor -> session"	"same callback transaction that owns resume and result extraction"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"SETFASTVDMSTACK(ptd->vpCBStack);"
"WOW-TF-03-766"	"wow32/wcall16.c"	"766"	"WOW-TF-03"	"SETVDMSTACK"	"replace the historical VDM stack before a synchronous callback re-entry"	"one typed callback transaction; numeric VPVOID only"	"no; no monitor callback transaction or stack projection is implemented"	"adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> adapter-bochs -> session"	"same callback transaction that validates and commits one complete guest frame"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"SETVDMSTACK(ptd->vpCBStack);"
"WOW-TF-03-766"	"wow32/wcall16.c"	"766"	"WOW-TF-03"	"VDMSTACK"	"read the callback-return VDM stack numeric address"	"one typed callback transaction; numeric VPVOID only"	"no; no callback transaction is implemented"	"adapter-mvdm-host-out/monitor -> session"	"same callback transaction that owns resume and result extraction"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"SETVDMSTACK(ptd->vpCBStack);"
"WOW-TF-05-774"	"wow32/wcall16.c"	"774"	"WOW-TF-05"	"CurrentMonitorTeb"	"publish the current NT4 monitor TEB to fast callback assembly"	"private fast-monitor worker/product shell"	"no; current monitor TLS is not a historical monitor TEB"	"adapter-mvdm-host-out/monitor -> session"	"explicit future fast-monitor package or original non-fast fallback selection"	"source-defined unavailable/fallback required; no provider body enabled"	"CurrentMonitorTeb = NtCurrentTeb();"
"WOW-TF-05-774"	"wow32/wcall16.c"	"774"	"WOW-TF-05"	"NtCurrentTeb"	"read historical monitor-thread identity or install CurrentMonitorTeb for fast callback code"	"current bound session worker only; no pointer is durable or crosses an ABI"	"partial; monitor binds adapter-private TEB.Vdm only, not a historical monitor TEB/product shell"	"adapter-mvdm-host-out/monitor -> session"	"per-call monitor-thread facade or source-defined unavailable branch; no private NT TEB field recovery"	"unresolved source-shaped interface; no provider body enabled"	"CurrentMonitorTeb = NtCurrentTeb();"
"WOW-TF-03-775"	"wow32/wcall16.c"	"775"	"WOW-TF-03"	"FastWOWCallbackCall"	"invoke the NT4 fast monitor callback stub"	"private fast-monitor worker/product shell"	"no; private fast monitor is intentionally absent"	"adapter-mvdm-host-out/monitor -> session"	"explicit future fast-monitor package or original non-fast fallback selection"	"source-defined unavailable/fallback required; no provider body enabled"	"FastWOWCallbackCall();"
"WOW-TF-03-780"	"wow32/wcall16.c"	"780"	"WOW-TF-03"	"host_simulate"	"historically re-enter the CCPU executor for a callback"	"bounded synchronous callback transaction"	"no; CCPU executor is replaced by typed Bochs mechanics"	"adapter-mvdm-host-out/softpc -> adapter-bochs -> session"	"source-shaped callback resume transaction; must not create a second executor"	"adapter-backed after complete callback transaction design; no provider body enabled"	"host_simulate();"
"WOW-TF-03-782"	"wow32/wcall16.c"	"782"	"WOW-TF-03"	"VDMSTACK"	"read the callback-return VDM stack numeric address"	"one typed callback transaction; numeric VPVOID only"	"no; no callback transaction is implemented"	"adapter-mvdm-host-out/monitor -> session"	"same callback transaction that owns resume and result extraction"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"ptd->vpStack = VDMSTACK();"
"WOW-TF-02-791"	"wow32/wcall16.c"	"791"	"WOW-TF-02"	"GETFRAMEPTR"	"resolve a protected VDMFRAME/CBVDMFRAME at the current WOW task stack"	"synchronous frame lease only; VDMFRAME address remains a numeric VPVOID outside the lease"	"partial; monitor has source-shaped VDM_TIB storage but no WOW task/frame projection"	"adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session.guest_memory"	"complete task/frame projection and bounded protected stack-frame lease; no host TEB/CCPU stack alias"	"unresolved source-shaped interface; no provider body enabled"	"GETFRAMEPTR(ptd->vpCBStack, (PVDMFRAME)pCBFrame);"
"WOW-TF-01-816"	"wow32/wcall16.c"	"816"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(pCBFrame);"
"WOW-TF-03-205"	"wow32/wcall32.c"	"205"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_GETEXPWINVER, &Parm16, 0, &ul );"
"WOW-TF-03-296"	"wow32/wcall32.c"	"296"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_SETWORDBREAKPROC, &Parm16, vpfn, (PVPVOID)&lReturn);"
"WOW-TF-07-474"	"wow32/wow32.c"	"474"	"WOW-TF-07"	"getIntelRegistersPointer"	"obtain the historical CCPU register-context pointer at WOW initialization"	"historical global executor pointer"	"no; adapter-bochs exposes typed register operations, not a register-context address"	"adapter-mvdm-host-out/softpc -> adapter-bochs -> session"	"per-call typed register snapshot binding or a source-defined unavailable initialization branch"	"unresolved source-shaped interface; no provider body enabled"	"pIntelRegisters = getIntelRegistersPointer();  // X86 Only, get pointer to Register Context Block"
"WOW-TF-04-486"	"wow32/wow32.c"	"486"	"WOW-TF-04"	"Sim32GetVDMPointer"	"historical monitor pointer acquisition for numeric VDM address/span"	"only a bounded synchronous guest-memory lease; address zero plus size zero cannot become a whole-memory host alias"	"partial; protected-span and Redirector forms are purpose-limited and cannot satisfy this call shape"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"per-call bounded span binding or original source-defined unavailable result; no global IntelMemoryBase"	"unresolved source-shaped interface; no provider body enabled"	"IntelMemoryBase = Sim32GetVDMPointer(0,0,0);"
"WOW-TF-07-489"	"wow32/wow32.c"	"489"	"WOW-TF-07"	"getMSW"	"read the original machine-status word to choose WOW real/protected behavior"	"scalar immediate machine query"	"partial; source-shaped scalar register facade exists for reached XMS/DPMI bodies but this WOW binding is unverified"	"adapter-mvdm-host-out/softpc -> adapter-bochs -> session"	"audit the exact scalar call shape against current register facade before body admission"	"binding audit required; no provider body enabled"	"fWowMode = ((getMSW() & MSW_PE) ? TRUE : FALSE);"
"WOW-TF-02-564"	"wow32/wow32.c"	"564"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"ptd = CURRENTPTD() = malloc_w_or_die(sizeof(TD));"
"WOW-TF-01-918"	"wow32/wow32.c"	"918"	"WOW-TF-01"	"GETVDMPTR"	"bounded VDM structure/string access"	"synchronous checked guest-memory lease; must end before callback, worker, or component return"	"no; Redirector-only prepared scope is intentionally not reusable"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"source-shaped WOW pointer scope with dynamic bounds and explicit read/write lease release"	"adapter-backed after complete scope design; no provider body enabled"	"GETVDMPTR(vpCode, 0x2 + 0x3, lpCode);"
"WOW-TF-01-932"	"wow32/wow32.c"	"932"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(lpCode);"
"WOW-TF-03-982"	"wow32/wow32.c"	"982"	"WOW-TF-03"	"VDMSTACK"	"read the callback-return VDM stack numeric address"	"one typed callback transaction; numeric VPVOID only"	"no; no callback transaction is implemented"	"adapter-mvdm-host-out/monitor -> session"	"same callback transaction that owns resume and result extraction"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"vpCurrentStack = VDMSTACK();                // Get 16 bit ss:sp"
"WOW-TF-02-989"	"wow32/wow32.c"	"989"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"ptd = CURRENTPTD();                         // Setup Task Pointer"
"WOW-TF-01-1040"	"wow32/wow32.c"	"1040"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(pFrame);                                                     // Set the 16-bit return code"
"WOW-TF-02-1041"	"wow32/wow32.c"	"1041"	"WOW-TF-02"	"GETFRAMEPTR"	"resolve a protected VDMFRAME/CBVDMFRAME at the current WOW task stack"	"synchronous frame lease only; VDMFRAME address remains a numeric VPVOID outside the lease"	"partial; monitor has source-shaped VDM_TIB storage but no WOW task/frame projection"	"adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session.guest_memory"	"complete task/frame projection and bounded protected stack-frame lease; no host TEB/CCPU stack alias"	"unresolved source-shaped interface; no provider body enabled"	"GETFRAMEPTR(ptd->vpStack, pFrame);"
"WOW-TF-04-1058"	"wow32/wow32.c"	"1058"	"WOW-TF-04"	"GetVDMAddr"	"historical real-mode monitor pointer acquisition"	"only one bounded synchronous real-mode lease; returned pointer cannot cross a component boundary"	"no for WOW; current macro is Redirector-only and scope-bound"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"per-call fixed BIOS-data span binding or source-defined unavailable result"	"unresolved source-shaped interface; no provider body enabled"	"*(PBYTE)GetVDMAddr(0x0040,0x0042) = (BYTE)(iLogLevel/10+'0');"
"WOW-TF-04-1059"	"wow32/wow32.c"	"1059"	"WOW-TF-04"	"GetVDMAddr"	"historical real-mode monitor pointer acquisition"	"only one bounded synchronous real-mode lease; returned pointer cannot cross a component boundary"	"no for WOW; current macro is Redirector-only and scope-bound"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"per-call fixed BIOS-data span binding or source-defined unavailable result"	"unresolved source-shaped interface; no provider body enabled"	"*(PBYTE)GetVDMAddr(0x0040,0x0043) = (BYTE)(iLogLevel%10+'0');"
"WOW-TF-01-1062"	"wow32/wow32.c"	"1062"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(pFrame);"
"WOW-TF-03-1064"	"wow32/wow32.c"	"1064"	"WOW-TF-03"	"SETVDMSTACK"	"replace the historical VDM stack before a synchronous callback re-entry"	"one typed callback transaction; numeric VPVOID only"	"no; no monitor callback transaction or stack projection is implemented"	"adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> adapter-bochs -> session"	"same callback transaction that validates and commits one complete guest frame"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"SETVDMSTACK(ptd->vpStack);"
"WOW-TF-03-1064"	"wow32/wow32.c"	"1064"	"WOW-TF-03"	"VDMSTACK"	"read the callback-return VDM stack numeric address"	"one typed callback transaction; numeric VPVOID only"	"no; no callback transaction is implemented"	"adapter-mvdm-host-out/monitor -> session"	"same callback transaction that owns resume and result extraction"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"SETVDMSTACK(ptd->vpStack);"
"WOW-TF-06-1258"	"wow32/wow32.c"	"1258"	"WOW-TF-06"	"NtCurrentPeb"	"inspect NT4 private FastPebLock before AeDebug process launch"	"private product-shell state; no substitute pointer is permitted"	"no; public Win32 has no equivalent FastPebLock contract"	"adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/win32 -> session"	"preserve the source fallback/decline branch after a focused hard-error/AeDebug policy audit"	"source-defined unavailable/fallback required; no provider body enabled"	"PebLockPointer = NtCurrentPeb()->FastPebLock;"
"WOW-TF-05-1260"	"wow32/wow32.c"	"1260"	"WOW-TF-05"	"NtCurrentTeb"	"read historical monitor-thread identity or install CurrentMonitorTeb for fast callback code"	"current bound session worker only; no pointer is durable or crosses an ABI"	"partial; monitor binds adapter-private TEB.Vdm only, not a historical monitor TEB/product shell"	"adapter-mvdm-host-out/monitor -> session"	"per-call monitor-thread facade or source-defined unavailable branch; no private NT TEB field recovery"	"unresolved source-shaped interface; no provider body enabled"	"if ( PebLockPointer->OwningThread != NtCurrentTeb()->ClientId.UniqueThread ) {"
"WOW-TF-02-1303"	"wow32/wow32.c"	"1303"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"ptd = CURRENTPTD();"
"WOW-TF-02-1304"	"wow32/wow32.c"	"1304"	"WOW-TF-02"	"GETFRAMEPTR"	"resolve a protected VDMFRAME/CBVDMFRAME at the current WOW task stack"	"synchronous frame lease only; VDMFRAME address remains a numeric VPVOID outside the lease"	"partial; monitor has source-shaped VDM_TIB storage but no WOW task/frame projection"	"adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session.guest_memory"	"complete task/frame projection and bounded protected stack-frame lease; no host TEB/CCPU stack alias"	"unresolved source-shaped interface; no provider body enabled"	"GETFRAMEPTR(ptd->vpStack, pFrame);"
"WOW-TF-02-1509"	"wow32/wow32.c"	"1509"	"WOW-TF-02"	"GETFRAMEPTR"	"resolve a protected VDMFRAME/CBVDMFRAME at the current WOW task stack"	"synchronous frame lease only; VDMFRAME address remains a numeric VPVOID outside the lease"	"partial; monitor has source-shaped VDM_TIB storage but no WOW task/frame projection"	"adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session.guest_memory"	"complete task/frame projection and bounded protected stack-frame lease; no host TEB/CCPU stack alias"	"unresolved source-shaped interface; no provider body enabled"	"GETFRAMEPTR(ptd->vpStack, pFrame);"
"WOW-TF-01-1700"	"wow32/wow32.c"	"1700"	"WOW-TF-01"	"GETVDMPTR"	"bounded VDM structure/string access"	"synchronous checked guest-memory lease; must end before callback, worker, or component return"	"no; Redirector-only prepared scope is intentionally not reusable"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"source-shaped WOW pointer scope with dynamic bounds and explicit read/write lease release"	"adapter-backed after complete scope design; no provider body enabled"	"GETVDMPTR(vpDebugWOW, 1, lpDebugWOW);"
"WOW-TF-01-1702"	"wow32/wow32.c"	"1702"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(lpDebugWOW);"
"WOW-TF-03-1799"	"wow32/wow32.c"	"1799"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_FORCESEGMENTFAULT, &Parm16, 0, &ul);"
"WOW-TF-04-1845"	"wow32/wow32.c"	"1845"	"WOW-TF-04"	"Sim32GetVDMPointer"	"historical monitor pointer acquisition for numeric VDM address/span"	"only a bounded synchronous guest-memory lease; address zero plus size zero cannot become a whole-memory host alias"	"partial; protected-span and Redirector forms are purpose-limited and cannot satisfy this call shape"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"per-call bounded span binding or original source-defined unavailable result; no global IntelMemoryBase"	"unresolved source-shaped interface; no provider body enabled"	"if (vp != Sim32GetVDMPointer(Address, Count, TRUE)) {"
"WOW-TF-04-1848"	"wow32/wow32.c"	"1848"	"WOW-TF-04"	"Sim32GetVDMPointer"	"historical monitor pointer acquisition for numeric VDM address/span"	"only a bounded synchronous guest-memory lease; address zero plus size zero cannot become a whole-memory host alias"	"partial; protected-span and Redirector forms are purpose-limited and cannot satisfy this call shape"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"per-call bounded span binding or original source-defined unavailable result; no global IntelMemoryBase"	"unresolved source-shaped interface; no provider body enabled"	"Address, vp, Sim32GetVDMPointer(Address, Count, TRUE)));"
"WOW-TF-04-1849"	"wow32/wow32.c"	"1849"	"WOW-TF-04"	"Sim32GetVDMPointer"	"historical monitor pointer acquisition for numeric VDM address/span"	"only a bounded synchronous guest-memory lease; address zero plus size zero cannot become a whole-memory host alias"	"partial; protected-span and Redirector forms are purpose-limited and cannot satisfy this call shape"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"per-call bounded span binding or original source-defined unavailable result; no global IntelMemoryBase"	"unresolved source-shaped interface; no provider body enabled"	"vp =  Sim32GetVDMPointer(Address, Count, TRUE);"
"WOW-TF-01-1892"	"wow32/wow32.c"	"1892"	"WOW-TF-01"	"GETVDMPTR"	"bounded VDM structure/string access"	"synchronous checked guest-memory lease; must end before callback, worker, or component return"	"no; Redirector-only prepared scope is intentionally not reusable"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"source-shaped WOW pointer scope with dynamic bounds and explicit read/write lease release"	"adapter-backed after complete scope design; no provider body enabled"	"GETVDMPTR(parg16->vpThunkTableOffsets, sizeof(TABLEOFFSETS), pto16);"
"WOW-TF-01-1896"	"wow32/wow32.c"	"1896"	"WOW-TF-01"	"FLUSHVDMPTR"	"publish modified VDM bytes before releasing the mapping"	"must commit the matching synchronous checked lease before release"	"no; no generic code-flush or unbounded alias is admitted"	"adapter-mvdm-host-out/softpc -> session.guest_memory -> adapter-bochs"	"paired WOW pointer scope with explicit write/commit designation"	"adapter-backed after complete scope design; no provider body enabled"	"FLUSHVDMPTR(parg16->vpThunkTableOffsets, sizeof(TABLEOFFSETS), pto16);"
"WOW-TF-01-1897"	"wow32/wow32.c"	"1897"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(pto16);"
"WOW-TF-02-212"	"wow32/wparam.c"	"212"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"lpn->htask16 = CURRENTPTD()->htask16;"
"WOW-TF-02-245"	"wow32/wparam.c"	"245"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"lpn->htask16 = CURRENTPTD()->htask16;"
"WOW-TF-02-364"	"wow32/wparam.c"	"364"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"return !!(CURRENTPTD()->dwWOWCompatFlags & WOWCF_NOCBDIRTHUNK);"
"WOW-TF-03-186"	"wow32/wres16.c"	"186"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_FINDRESOURCE, &Parm16, 0, &vp);"
"WOW-TF-02-187"	"wow32/wres16.c"	"187"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"pCBFrame = CBFRAMEPTR(CURRENTPTD()->vpCBStack);"
"WOW-TF-01-189"	"wow32/wres16.c"	"189"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(pCBFrame);"
"WOW-TF-03-215"	"wow32/wres16.c"	"215"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_LOADRESOURCE, &Parm16, 0, &vp);"
"WOW-TF-03-235"	"wow32/wres16.c"	"235"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_FREERESOURCE, &Parm16, 0, &vp);"
"WOW-TF-03-251"	"wow32/wres16.c"	"251"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_LOCKRESOURCE, &Parm16, 0, &vp);"
